Roman Urdu,English
ab rehny do,leave it now
ab sach karwii tou lagi gi nah,truth is bitter
ab tak uzar bari achi haalat mein hai mein mutmaen ho,tools are in good condition till now i am very satisfied
ab tm jo marzi kaho,say whatever you wanna say
ab to leader bhi nai raha to vote kisko denna,now who to vote our leader is no more here
ab to nikl gya jo niklna tha khair hay,whats gone is gone its okay
ab to ye b nahi krskty,now we cant even do that
ab toh guitar bhi hai,now i also have a guitar
ab tou mujhe bhi shaadi karni hai i will vote imran bhai,i also want to marry i will vote for imran
ab tujhse mil raha tha to krdya tag kia karun,it lookedlike you so i tagged you
ab tym b to ni,dont have time now
abb iska mai kya jawab du apko,how should i respond to this now
abba nhi manein gay,dad wont agree
abhi ka sunao maza a rha hai,tell about rightnow are you enjoying
abhi kia time horaha ha,what time is it
abhi tk istemaal ker rha hun ab bas nataij dekhna chahta ho,i am still using it now i just wanna see results
abhi tou bht zulm sehna hai,there is more opession to bear with
abi b soch kon se gany sun ri,imagine which song i am listening right now
abnahi loot ne dain g karachi ka pesa,now we wont let karachi be looted
aby jahail logo ye islamabad ha,you illiterate people its islamabad
aby mjhe q shamil krdia,man they included me also
aby pagly to tum ho,are you crazy
ac baat nh h tum badal gaye ho,its not like that you have changed
ach hi lakin bit color change hai,it is good but the color is change
acha,okay
acha acaah hai aybeez team bhot ach kaam kar rhi hai,aybeez team is doing a great job
acha aur style wali chez h mens k lya,good and stylish thing for men
acha brand aur khobsorat bhaari masnoaat,great brand and beautiful product
acha brand hai veet,veet is a good brand
acha color aur size b acha h kaafi,nice colour also size is good
acha daraz ke zareya delivery waqt par hai thnx,very good delivery was on time thankyou
acha fabrics hai aur quality may aybeez sb sy acha hai shukriya,fabric is good and aybeez is the best in quality
acha fabrics hai jsa may ny socha tha,fabric is very good just like i thaught
acha gadget hai moqay ke liye,nice gadget for any event
acha hai aur wakt p b mil gya hai,it is good and delivered on time
acha hai bht,it is very good
acha hai face k liay bht,very good for face
acha hai ghantay tk chalta hai,its good and runs for an hour
acha hai girls k usay k liay,good for girls use
acha hai item,great item
acha hai item mujhe acha laga bot battery bohat jaldi low ho jati hai,i liked this item but battery goes low very quickly
acha hai lakin color wo nai h jo pic may tha,its good but the colour is not same as was in the picture
acha hai lakin keemat kai ziyda h iss ki,its good but is its price high
acha hai lakin size cable ka chota hai ur smartphone se chotha hai,nice product but cable size is small and its small from smartphone
acha hai lakin time click karni k baad nazar aata hai,it is very good but time is shown after the click
acha hai lakin time ny set ho rha iss p,it is good but unable to adjust time
acha hai lekin mayar aur quantity ke lehaz se yeh mehnga hai,its good but expensive according to quality and quantity
acha hai ye zipper hoodie thora different style hai jo ke kaafi cool hai,great zipper hoodie different and cool style
acha hay,it is good
acha hi,it is good
acha item hai,great item
acha item hai aur sub se achi baat easy tu usay,very good item and specially very easy to use
acha kaam kar rha hai slim hai aur features b thek hai,working fine its slim and features are also good
acha kaam kr rhy ho bachoon,are doing good work children
acha kapra hau jsa pic may tha shukriya aybeez,very good fabric just like it was in the picturethankyou aybeez
acha kaprra hai sir may kush ho ya buy kar k apki shop sy,fabric is good sir i am happy to buy from your shop
acha lag raha ha,looking good
acha lekin mein kaisay waqt badal sakta hon,it is good but how can i change the time
acha lga item tu usay karne may,felt good in using this item
acha madah ny hai tasveer se bilkul alag hai,did not enjoy it was not according to picture
acha mayar hai aur wholesale ki keemat hai,great quality in wholesale rates
acha mayar hai kaafi acha kaam kar raha hai,great quality and working very nicely
acha mayar nhi aur dabbay mein ek purza gaib tha,poor quality and a piece was missing from the box
acha miyaar iss qeemat mein,nice product in this price tag
acha miyaar lakin inhon ne mujhe se har bulb ke tarseel ka paisay liya,good quality but they charged delivery fee from me for every bulb
acha miyaar lakin silai mein thori kharabi,good quality but there is a defect in stitching
acha miyaar ur baqi sab kuch bhi bohat acha,good quality and everything is fine
acha nahi ur qeemat ziada hai,cost is high and product is not good
acha nai h size inn ka chot h real sy,the size is not good it is smaller than the real
acha nai hai,not good
acha phone h kaam price may camera bs thek hai aur processor b kaafi fast hai,nice phone in low price camera is just okay processor is very fast
acha phone hai lakin mila thori dar sy hai,the phone is good but i got it a bit late
acha phone hai lakin mujhy kaam keemat p chya,phone is good but i want this phone in low price
acha phr choro,ok then leave it
acha phr meihi late hogya hn,okay then i must have been late
acha product h deilvery b tez hai phely bar lya hai koi chez daraz sy,product is good and delivery is fast first experience with daraz
acha product hai,great product
acha product hai jsa pic may tha,its a good product as was in the picture
acha product hai lkin back cover nai mila galss b aur handfree b ny h,the product is good but didnt get the back cover also there is no glass and handfree
acha product hai mein baad mein bhi usay karunga,great product i will use it in future
acha product hai skin k liay,good product for skin
acha quality product mila hai may acha feel kar rha ho,good quality prodcut i am feeling good
acha shipment waqt ur miyaar,shipment was on time and quality is also good
acha size h kapra b acha hai,the size and the fabric is good
acha size h kapra b acha hai aur delivery time b bhot sai hai,the size is good and so is the fabric the delivery time is also good
acha stuff hai sardiyo k lya acha h ya,stuff is good its great for winters
acha tajarba aur acha nataij rahay hai,great experience and results
acha tha bht,it was great
acha tha magar jaisa socha tha waisa nhi tha,it was good but not what i expected
acha tou hai yeh nicer dicer lekin iss ki quality se mein itni razi nai hon iske blades achay hain lekin sahi chopping nai karte aur kabhi kabar bohat hi zyada muskhil hojati hai usay karne mein iska koi behtar haal hona chyeiy warna iska arm hi toot jayega,well this is a good dicer but i am not so satisfied with its quality its blades are good but they do not cut and sometimes it is very difficult to do it
acha ur pyara hai,good and beautiful
acha washing powder hai bht jaldi deliver b hogya recommended,grreat washing powder and also delivered on time recommended
achay ha product ur delivery time b koi lna chhta ha tu liay skta ha,product and elivery time is good if someone wants to buy the cna go ahead
achay mayar ki cheez kaam paiso mein,good quality product in such low price
achay miyaar ki cheezain mili shukria daraz,got good quality products thank you daraz
achay miyaar ki masnoaat ke sath achi service,good quality products with good services
achay miyaar tea sharait achi chizin,great quality tshirts good products
achay tea shirts mujhe kal order mila,good t shirts i received the order yesterday
achha hay bs length kaam hay iski,its good but length is short
achha lag raha bhai behan,brother sister looking good
achi aur mojizana tor par wohi shai mila jis ka mein nai hukum diya tha,good quality and i received what i ordered
achi baat yeh hai ke ek hi din mein tarseel hogaya,great thing is that it was delivered within a day
achi battery timming hai,good battery timing
achi big friday ki khareed,good purchase on big friday
achi cheez achi qeemat ke sath,nice product with nice price tag
achi cheez aur waqtr per mil gya,nice product and timely delivered
achi cheez hai lekin dabba per jaisi dikhaya gaya tha wiasi nhi hai,good product but it is not like what is hsown on the box
achi cheez hai mere bache ko pasand hai,good product my kids love it
achi cheez hai packing kamal hai bas tarseel dinon baad hua hai,great product and packing delivery was after some days
achi cheez hai rang kaafi acha hain mazeed behter hota agar zayada rang hotay,good thing color is good enough much better if more colors were available
achi cheez hai yeh abhi tak toh theek chal rahi hai yeh kyunke meine ye daraz se mangwayi hai toh iska review toh banta hai iske monitor ke peche belt hay jo aap apnay hath pe lagaa kar baasaani apna blood pressure note kar saktay hain achi product hai 4 number dunga mein is product ko,achi cheez hai yeh abhiisck monitor ke pche beltachi product hai 4 number dunga mein is product ko
achi cheez sab ke liya recommended,nice product recommended for all
achi cheez thi acha tagurba tha,good product and experience
achi cheez ur bikul theek haalat mein pohanch gyi,good thing and buckle got in fine condition
achi chez h tsveer sy b,product is better than the picture
achi chez hai aur keemat b sai hai,good product at this reasonable price
achi chez hai lakin delivery slow hai back cover aur glass nai mila,thing is good but the delivery is slow didnt got the back cover and glass
achi chez hai mujhy psnd hai aur keemat b kaam h kaafi,good product and i love it price is very low
achi chocolate achi packing ke sath shukriya daraz,great chocolates with great packaging thankyou daraz
achi ghari yeh qabil aetmaad hai aur qeemat mein bhi kaam hai mujhe yeh bohat pasand hai,wach is good it is trustworthy and price is low i really like it
achi h bot jaisy itnay bari size k dikhye h waisy nhi h,its good but size ios different than what was shown
achi hai,it is good
achi hain choti choti gulu gulu,they are good small small
achi hay,great
achi hi,great
achi hi bhot ziyda iss keemat may,very good at this price
achi hoodie h mujhy psnd hai,great hoodie i love it
achi jacket mein dobarah iss jacket ko order karna chahta hon,the jacket is good i want to order it again
achi juty h jsy pic may thi,shoes are good just like shown in the picture
achi keemat aur mayar mujay pasand aya shukriya daraz,great quality at good price i loved it thankyou daraz
achi keemat bank alflah discount b di rha hai,nice price bank alflah is also providing discount
achi masnoaat hai aur tarseel bhi taiz hai shukriya daraz,great product and delivery is also fast
achi masnoaat hai dosaron ke muqabla mei,great products compared to others
achi mayar hai achay zaiqa ke sath,great quality with great taste
achi mayar ka masnoaat tha mukhtalif rang thay ur ziplock bag bhi kaafi naram ur acha tha kisi aur se pehlay isko zaroor try karein,the product is of good quality it was of different color and ziplock bag was also soft and nice try this seller before trying any other
achi mayar ke bulbs osaka ke,good quality bulbs of osaka
achi mayar ke chawal hai qeemat bhi behtareen hai shukriya daraz,good quality rice price is also good thank you daraz
achi mobile hai lakin iss ki koi warenty nai hai,mobile is good but there is no warranty for it
achi product hai,great product
achi qeemat mein bachon ke liye achi cheez hai,great item for kids at great price
achi quality aur achi awaz hai maza aya istemaal kar k,excellent quality and audio enjoyed using it
achi quality hi mujhy kl mila order,good quality i received it yesterday
achi quality ki shirt hai shukriya daraz,good quality shirt thankyou daraz
achi qulity hai kaam keemat may,good quality at low price
achi qulity ka phone hai aur keemat b kaafi kaam hai,good quality phone and also the price is low
achi rice hen may dobara lo ga,great rice i will buy again
achi sehat,good health
achi suit hai price bhi fit hai,price is good and so is the suit
achi tarha fit howa wazan may b kaam haii aur bttery ti ming b achi hi,it fits well weight is light and battery timing is good
achi timing hai sirf dino may agya hai,timing is good delivered only in few days
achi watch hai keemat kaam hai,great watch at low price
achon ko duniya achi nazar ati ha,to good world appears good
acting ka aaghaz farooq sheikh ne theater se kiya tha,farooq sheikh started acting from theater
acting ka aaghaz inho ne indian peoples theater association ipta ke tehat hone wale stage dramas se kiya,acting began with stage drama under the indian peoples theater association ipta
acting ki taraf is ke rujhaan ka izhaar 6 baras ki umer se he hone laga tha,her interest towards actings started at the age of 6
actor singer producer screen writer aur director jerry lewis 16th march 1926 ko america ke city new york mein paida hue,actor singer producer screenwriter and director jerry lavas born in new york on march 16 1926
adaaa,adaaa
adakari mein angelina jolie ke career ka baqaidah aghaz 1993 mein kaam bagudet ki science faction video film cyborg 2 se howa,angina jolies career in acting began from a low budget science fiction film caborg 2
adakari mein angelina ne apne walid se bohat kuch sekha hai,in acting angina has learned from her father very much
adhi raat,midnight
adil ko q dainy,why to give adil
adres btaye or shop ka,tell the adress of shop
ae tera hall hona ae,this is going to be your condition
aesa lagta ha k usny apny hosh me nahi ha,it appears he is off his wits
aesi bat nahi h,its not like that
aesi biwi ho iss sey acha banda suicide hee kurly,better to suicide than to have a wife like this
aey allah hamen buri nazar se bacha,o allah protect us from the evil eye
aey allah hamen bury aamal se bacha,oh allah protect us from evil deeds
aey allah hamen jahannum ki aag se mehfooz farma,o allah save us from the punishment of hell
aey allah hamen jhoot or takabbur se bacha,oh allah protect us from lying and arrogance
aey allah hamen seedha rasta dikha,oh allah show us the right path
aey allah mere ilm me izafa farma,oh allah increase me in knowledge
aey allah tamam ummat e muslimah ki maghfirat farma,oh allah forgive the entire muslim ummah
afghan k dil patar k hai stupid afghani,afganis hearts are made of stone stupid afganis
afghanstan ke help karien leekun sub saay pahaley pakistan kay baaray main soocha jaye,help afghanis but first think about pakistan
afridi afridi hai,afridi is afridi
afsoosnaak miyaar bohat se mayoos hue rang pehlay dhoney ke baad khatam ho jatay hain nah khareedain,low quality i am disappointed color fades away after first wash wont recoomend
agar aap pakistan mein dastyab qeemat ke tehat iss ki khususiyaat ko dosray sab se mawazna karte hain tu aap ko khardney ke liye aik wajah mil jaye gi,if you compare features from others in terms of price that is in pakistan you will eventually know the reason to buy
agar apko saada ur leather belt chaye,if you want simple and leather belt
agar dekha jae to in ki amli zindagi ka sahi maeyno mein aaghaz us waqt hua jab inho ne universal studios mein bila muaawza week mein 7 days bataur internee kaam shuru kia,if you look at it in real means his practical life started in at the same time when he started work 7 days a week at universal studios for free
agar iss ke mayar ko iss ki qeemat ke hisaab se dekha jae tu yeh bura nhi hai,its not bad if we judge the quality according to its price
agar kharab hua tou change ho ga,will it be changed if it gets bad
agar ma passah lo tu,if i trap you then
agar main chahon to saal ke00 din00 alag alag jote pehan sakta hun magar main esa nahi karta,if i want i can wear new shoes00 out of00 days but i dont do this
agar main ghalat bol raha ho to ap sahi kar k bata den k ye nahi ye hota hai tab mujhy pata chalyga k main ghalat ho ya theek,if im wrong then correct me so then ill know that what is wrong and right
agar uk jaa kar bhi fark nahi para to lanat ho,if you have not changed even after living in uk then shame
agarcha 1980 ke ashrey mien bhi inho ne television dramas mien role kiye the,even though in the 1980s he played characters in television dramas
agarcha farooq sheikh us waqt law college he mien zer e taleem the,although farooq sheikh was studying in law college
agarcha harry potter ke liye in ke 8 auditions hue lekin kahani ki musannifa jk rolling ne pehle he test mein emma watson ke haq mein faisla de diya tha,although she had to give 8 auditions for film but the writer was in her favour after first audition
agarcha yeh aik zameendar gharana tha,although it was a landlord family
agha kha hai g,its agha khan
agli din mila bhot achi quality hai shape b achi aur bki sb bhot acha hai,got it next day quality is superb shape is also good and all other things are very good
agr kharab nikla to,if it comes out bad
agr khud amal nahe karna to na kroo,if you dont want to practice yourself then dont do it
agree to nae pra achi thi p,although i dont agree but was good
agya tera crush,your crush ha come
aha hai item usay karne may,it is good in use
ahaah waqaii,lol seriously
ahahahaahah sai ho gya na d p,lo did it went well
ahahahah same story,haha same story
ahahahahhaha yeh hum asal me karein na chamat parega,lol well get slapped if we do it in reality
ahahahha zabardast,lol great
ahahha inbox mai likhun ge bss,lol i will only write in inbox
ahhahah is liye koi bol nai raha,thats why no one is saying anything
ahista bolo thora or,speake more slowly
aho p,yes
aho sahi bt h,yes thats true
ahqab,eagle
ahreee umeed imran khan,last hope imran khan
aik acha safar,a pleasant journey
aik aik lafz kamal ka bola hai,every single word is on spot
aik atrf hojao,move aside
aik bohat achcha aur qabil aetmaad masnoaat,a very good and trustworthy product
aik bohat hi munasib qeemat ke sath aik achi masnoaat,a very good product at very reasonable price
aik din may product mil gya orignal seal tha aur price b kaam thi market sy,product delivered in one day its original sealed and price is also lower than the market price
aik hafta ke sath mein ne meri masnoaat haasil ki umdah aur taiz khidmat mein munasib qeemat mein iss numeral se bohat mutmaen hon mein daraz ka bohat mashkoor hon,with a week i recieved the products with fast service and reasonable price i am very much satisfied to this number in positions of value i am very grateful to daraz
aik interview ke doran malka e taranum ne eteraf kiya ke wo yaqinan esa karti hain lekin sirf naam nehad mosikaron ke sath,during an interview queen tarnam said that she does this but only with well known singers
aik jhoot dosry jhoot tak lejata ha,one lie leads to another
aik minute,one moment
aik msg b ni aya pora ramzan,didnt recieve a single message in ramzan
aik nawala lo,take a bite
aik programmer k jazbaat ko thais pohnchi p,a programmers feeling been hurt
aik qabil qubool thi jabkay dosra mere size ka har gaz nahi tha,one was acceptable but the other one was not of my size
aik se ziyada mawaqey par inho ne gher mamooli balling attack ki bhi dhajjiyan bikheri hain,at multiple stances he has also scattered extraordinary bowling attacks
aik shirt khrb hai aur blue wali may whole hai,one shirt is bad and there is a hole in blue shirt
aik side tooti hui thi ur miyaar bhi nahi acha tha,one side was broken quality was also bad
aik tea shirt ka miyaar bilkul theek hai aur dosra sifar hai doosri baat choti achi nahi hai aur yeh lachak dar kapra nahi hai stuff,one tshirts quality is very good and the second tshirts quality is zero it is too small and the fabric is not flexible
aik vari fairrr,once again
aik zabardast pack aur kharidari se ziyada tasalii bakhash qeemat he jis ki wajah se yeh tea shirts dastyab theen rang herat angaiz thay aur yeh tea shirts mujhe bohat achi terhan se fit ati hain aur khaas tor par jeans ke sath bohat achy lagtay hain kapray ki quality bhi bohat achi hai aur yeh mere liye bohat faida mand hain me mutmaen hun,awesome pack and price is more satisfactory than purchasing due to which these tshirts were available colors were amazing and these shirts are fit for me to wear and specially these look very good with jeans cloths quality is also very good and it is very benificial for me i am satisfied
aimen sarwer saleha mazhar syeda kashaf batool,aimen sarwer saleha mazhar syeda kashaf batool
ais pay koi baat nahi karta,no one talks on this
aisa lagta yeh ghar mein bana hai,it looks like it is homemade
aisaa mard dhondho,find this type of man
aisaaa hi hai,thats how it is
aisay logon ko ignore krty hain,ignore people like these
aise ni boltay,dont say like that
aisi cheez pehlay kabhi nhi dekhi mere bhanja ko kaafi pasand hai ye,never see such a thing before my nephew likes it
aisi qabil aetmaad aur qabil qader masnoaat paish karne ke liye daraz ka shukriya,thankyou daraz fot providing such a trustworthy and valueable products
aisy tu na keh,dont say like that
aizaz x aur dosray se behtareen mobile phone aur iss ka kamera bohat acha hai bijli ki roshni mein kaam haalat bohat taiz hai battery bohat barri hai,better than aizaz and others mobile phone its camera is very goodthe work condition in lightning is very fast battery is very big
aj bohat shaded garmi hai,its boiling hot todayits sweltering today
aj garmi ha,it is hot today
aj itwar ha,it is sunday
aj kia ha,what is today
aj mosam nam or garam hai,its hot and humid today
aj saaf ha,its clear today
aj sardi ha,it is cold today
aj shab e juma hay,today is shab e jummah
aj shaded garmi hai,its extremely hot today
aj tk kuch howa hy jo ab hoga,its hopeless
aja ajajldi sedelhi ki sadko pefir se awaaragardi krenge,come soon like old times we will roam around on delhi streets
aja le mera intervie,come interview me
ajeeb hi aurat hai wese,wierd lady she is
ajj edhi foundation taraqi ki rah per gamazan hai,today the edhi foundation is on its way to the top
ajkal cards koi nhi deta,no one give cards these days
ajkal offline rehny laggy ho,you started being offline these days
ajkal online rehny lag ho,you started being online these days
ajki ebadat btado,is there any way to meet the physician
akheer kr gae aunty,aunty was awesome
akhir tak dheki broz,bros i watched it till end
akhir tak sunoo,listen till end
akhir takk dekhnalast wala dialogue,watch till end spcially last dialogue
akhri qeemat kia ha,whats the final price
aksar class me yehe krty thy,we usually kept doing this in classrooms
ala hogaya bhai,great borther
alaaya ka mtlb kya hai,what is the meaning of alaya
alag hi maza hai isme,there is a different kind of joy in this
alhamdolillah kya bat hai,alhamdulillah great
alhamdulillah me kamyab aurat,alhamdulillah i am a successful woman
alhamdullilahirubil alameen,alhamdullilahirubil alameen
alhumdulilah asu psnd nh meri,alhamdulillah this in not my choice
alhumdulilah ghalazat to nhi hai,alhamdulillah nothing bad
alla,great
alla jackit,great jacket
allah 70 maaon see zeayda piar krta hai,allah love you more than 70 mothers
allah aap ki hifazat karay ik,may god protect you
allah aap ko sehat zindagi dy taky aap choron ki ghulami mai guzarien,may allah grant you health so you live your life under the slavery of thieves
allah ap par reham kary,allah bless you
allah apki jori ko salamat rakhe,may allah keep you couple safe
allah apki lambi umar kary,may you live long
allah apki or apki family ki hifazat farmaye,may allah protect you and your family
allah apko aur taraqi dy boht khoob,may allall gives you more success
allah apko hamisha tarqi ata farmaye,may allah always give you success
allah apko sabar dy,may allah pour patience upon you
allah apko salamat rakhy,may god keep you safe
allah apko sehat dy,may allah heal you
allah apko sehat mand bacha dy,may allah grant you a healthy baby
allah apko sila dy,may allah reward you
allah aur bhi kamyab kry apko,may you succeed more
allah aur taraki de,may allah give you more success
allah dekh raha hai,allah is watching us
allah hafiz hy is mulk ka,god save this country
allah hamen qarz or ghurbat se bacha,oh allah protect us from poverty and debts
allah hu akbar,allah hu akbar
allah hu akbar mashallah shai farmaya,allah hu akbar mashallah you said it right
allah insaaf karey,may allah provide justice
allah insaf karna wala ha,allah is the one who does justice
allah jannat me jaga dy,rest in peace
allah khair kay ga,allah will make it right
allah lambi umar de ameen,may allah give you long lifeameen
allah maaf kary shukar e rabba i dont have janu manu,allah forgive us all thanks to allah that i dont have dears
allah maaf kre,allah forgive us
allah maaf kre allah nee apne ghar ki hifazat ka zima khud lia hai,may god forgives us allah has taken the responsibility of the safety of his house
allah maghfirat farmaye aameen,may allah forgive
allah muaaf kare,may allah forgive
allah na kare mujhe tmse tap nahi charhty bhai p,god forbade i dont envy you
allah na kre,allah please dont let this happen
allah nazre bud se bechye,allah save from evil eyes
allah o,allah hu
allah pak janatul firdus main alla maqam day ameen,may allah almighty give the place in gental firdous
